Index,SMILES
89,ClC1=Cc2c(Cl)cc(Cl)c3c(Cl)c(Cl)c(Cl)c1c23
90,ClC1=Cc2cc(Cl)cc3c(Cl)cc(Cl)c1c23
91,ClC1=Cc2cc(Cl)c(Cl)c3c(Cl)cc(Cl)c1c23
92,ClC1=Cc2c(Cl)c(Cl)cc3c(Cl)cc(Cl)c1c23
93,ClC1=Cc2c(Cl)c(Cl)c(Cl)c3c(Cl)cc(Cl)c1c23
94,ClC1=C(Cl)c2c(Cl)cc(Cl)c3cc(Cl)cc1c23
95,ClC1=C(Cl)c2c(Cl)cc(Cl)c3c(Cl)c(Cl)cc1c23
96,ClC1=C(Cl)c2c(Cl)cc(Cl)c3c(Cl)cc(Cl)c1c23
97,ClC1=C(Cl)c2c(Cl)c(Cl)cc3c(Cl)cc(Cl)c1c23
98,ClC1=C(Cl)c2c(Cl)c(Cl)c(Cl)c3c(Cl)cc(Cl)c1c23
99,Clc1cc2c3c(cc(Cl)cc3c1)C=C2
100,Clc1cc2c3c(cc(Cl)c(Cl)c3c1)C=C2
101,Clc1cc2c3c(c(Cl)c(Cl)cc3c1)C=C2
102,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)C=C2
103,ClC1=Cc2cc(Cl)cc3cc(Cl)cc1c23
104,ClC1=Cc2cc(Cl)cc3c(Cl)c(Cl)cc1c23
105,ClC1=Cc2cc(Cl)cc3cc(Cl)c(Cl)c1c23
106,ClC1=Cc2cc(Cl)cc3c(Cl)c(Cl)c(Cl)c1c23
107,ClC1=Cc2cc(Cl)c(Cl)c3cc(Cl)cc1c23
108,ClC1=Cc2c(Cl)c(Cl)cc3cc(Cl)cc1c23
109,ClC1=Cc2c(Cl)c(Cl)c(Cl)c3cc(Cl)cc1c23
110,ClC1=C(Cl)c2cc(Cl)cc3cc(Cl)cc1c23
111,ClC1=C(Cl)c2cc(Cl)c(Cl)c3cc(Cl)cc1c23
112,ClC1=C(Cl)c2c(Cl)c(Cl)cc3cc(Cl)cc1c23
113,ClC1=C(Cl)c2c(Cl)c(Cl)c(Cl)c3cc(Cl)cc1c23
114,Clc1cc2c(Cl)c(Cl)cc3c2c(c1Cl)C=C3
115,Clc1cc2cc(Cl)c(Cl)c3c2c(c1Cl)C=C3
116,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)C=C3
117,ClC1=Cc2c(Cl)c(Cl)cc3c(Cl)c(Cl)cc1c23
118,ClC1=Cc2c(Cl)c(Cl)cc3cc(Cl)c(Cl)c1c23
119,ClC1=Cc2c(Cl)c(Cl)cc3c(Cl)c(Cl)c(Cl)c1c23
120,ClC1=Cc2cc(Cl)c(Cl)c3cc(Cl)c(Cl)c1c23
121,ClC1=Cc2c(Cl)c(Cl)c(Cl)c3cc(Cl)c(Cl)c1c23
122,ClC1=C(Cl)c2c(Cl)c(Cl)cc3c(Cl)c(Cl)cc1c23
123,ClC1=C(Cl)c2c(Cl)c(Cl)cc3cc(Cl)c(Cl)c1c23
124,ClC1=C(Cl)c2c(Cl)c(Cl)c(Cl)c3cc(Cl)c(Cl)c1c23
125,Clc1cc2c3c(cc(Cl)c(Cl)c3c1Cl)C=C2
126,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C=C2
127,ClC1=Cc2cc(Cl)c(Cl)c3c(Cl)c(Cl)cc1c23
128,ClC1=Cc2cc(Cl)c(Cl)c3c(Cl)c(Cl)c(Cl)c1c23
129,ClC1=Cc2c(Cl)c(Cl)c(Cl)c3c(Cl)c(Cl)cc1c23
130,ClC1=C(Cl)c2cc(Cl)c(Cl)c3c(Cl)c(Cl)cc1c23
131,ClC1=C(Cl)c2c(Cl)c(Cl)c(Cl)c3c(Cl)c(Cl)cc1c23
132,Clc1c(Cl)c2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C=C2
133,ClC1=Cc2c(Cl)c(Cl)c(Cl)c3c(Cl)c(Cl)c(Cl)c1c23
134,ClC1=C(Cl)c2c(Cl)c(Cl)c(Cl)c3c(Cl)c(Cl)c(Cl)c1c23
