Index,SMILES
90,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)C(Cl)C3
91,Clc1c(Cl)c2c3c(cccc3c1Cl)CC2Cl
92,Clc1c(Cl)c2c3c(ccc(Cl)c3c1Cl)CC2Cl
93,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)C(Cl)C2
94,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)C2
95,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1CC3Cl
96,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c3c2c1CC3Cl
97,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)CC3Cl
98,Clc1c(Cl)c2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)C2
99,ClC1(Cl)Cc2cccc3cccc1c23
100,Clc1ccc2c3c(cccc13)C(Cl)(Cl)C2
101,Clc1cc2c3c(cccc3c1)C(Cl)(Cl)C2
102,Clc1cc2c3c(cccc3c1Cl)C(Cl)(Cl)C2
103,Clc1ccc2cccc3c2c1CC3(Cl)Cl
104,Clc1cc(Cl)c2cccc3c2c1CC3(Cl)Cl
105,Clc1cc2cccc3c2c(c1Cl)CC3(Cl)Cl
106,Clc1c(Cl)c2c3c(cccc3c1Cl)C(Cl)(Cl)C2
107,Clc1ccc2c3c(cccc13)CC2(Cl)Cl
108,Clc1ccc2c3c(ccc(Cl)c13)C(Cl)(Cl)C2
109,Clc1cc2c3c(ccc(Cl)c3c1)C(Cl)(Cl)C2
110,Clc1cc2c3c(ccc(Cl)c3c1Cl)C(Cl)(Cl)C2
111,Clc1ccc2c(Cl)ccc3c2c1CC3(Cl)Cl
112,Clc1cc(Cl)c2c(Cl)ccc3c2c1CC3(Cl)Cl
113,Clc1cc2c(Cl)ccc3c2c(c1Cl)CC3(Cl)Cl
114,Clc1c(Cl)c2c3c(ccc(Cl)c3c1Cl)C(Cl)(Cl)C2
115,Clc1cc2c3c(cccc3c1)CC2(Cl)Cl
116,Clc1cc2c3c(ccc(Cl)c3c1)CC2(Cl)Cl
117,Clc1cc2c3c(cc(Cl)cc3c1)C(Cl)(Cl)C2
118,Clc1cc2c3c(cc(Cl)c(Cl)c3c1)CC2(Cl)Cl
119,Clc1cc2c3c(c(Cl)ccc3c1)CC2(Cl)Cl
120,Clc1cc2c3c(c(Cl)cc(Cl)c3c1)CC2(Cl)Cl
121,Clc1cc2c3c(c(Cl)c(Cl)cc3c1)CC2(Cl)Cl
122,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)CC2(Cl)Cl
123,Clc1cc2c3c(cccc3c1Cl)CC2(Cl)Cl
124,Clc1cc2c3c(ccc(Cl)c3c1Cl)CC2(Cl)Cl
125,Clc1cc2c3c(cc(Cl)c(Cl)c3c1)C(Cl)(Cl)C2
126,Clc1cc2c3c(cc(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2
127,Clc1cc2c3c(c(Cl)ccc3c1Cl)CC2(Cl)Cl
128,Clc1cc2c3c(c(Cl)cc(Cl)c3c1Cl)CC2(Cl)Cl
129,Clc1cc2c(Cl)c(Cl)cc3c2c(c1Cl)CC3(Cl)Cl
130,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)CC2(Cl)Cl
131,Clc1ccc2cccc3c2c1C(Cl)(Cl)C3
132,Clc1ccc2c(Cl)ccc3c2c1C(Cl)(Cl)C3
133,Clc1cc2c3c(c(Cl)ccc3c1)C(Cl)(Cl)C2
134,Clc1cc2c3c(c(Cl)ccc3c1Cl)C(Cl)(Cl)C2
135,Clc1ccc2ccc(Cl)c3c2c1CC3(Cl)Cl
136,Clc1cc(Cl)c2ccc(Cl)c3c2c1CC3(Cl)Cl
137,Clc1cc2ccc(Cl)c3c2c(c1Cl)CC3(Cl)Cl
138,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)(Cl)C3
139,Clc1cc(Cl)c2cccc3c2c1C(Cl)(Cl)C3
140,Clc1cc(Cl)c2c(Cl)ccc3c2c1C(Cl)(Cl)C3
141,Clc1cc2c3c(c(Cl)cc(Cl)c3c1)C(Cl)(Cl)C2
142,Clc1cc2c3c(c(Cl)cc(Cl)c3c1Cl)C(Cl)(Cl)C2
143,Clc1ccc2c(Cl)cc(Cl)c3c2c1CC3(Cl)Cl
144,Clc1cc(Cl)c2c(Cl)cc(Cl)c3c2c1CC3(Cl)Cl
145,Clc1cc2c(Cl)cc(Cl)c3c2c(c1Cl)CC3(Cl)Cl
146,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c3c2c1C(Cl)(Cl)C3
147,Clc1cc2cccc3c2c(c1Cl)C(Cl)(Cl)C3
148,Clc1cc2c(Cl)ccc3c2c(c1Cl)C(Cl)(Cl)C3
149,Clc1cc2c3c(c(Cl)c(Cl)cc3c1)C(Cl)(Cl)C2
150,Clc1cc2c(Cl)c(Cl)cc3c2c(c1Cl)C(Cl)(Cl)C3
151,Clc1cc2ccc(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3
152,Clc1cc2c(Cl)cc(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3
153,Clc1cc2cc(Cl)c(Cl)c3c2c(c1Cl)CC3(Cl)Cl
154,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)C(Cl)(Cl)C3
155,Clc1c(Cl)c2c3c(cccc3c1Cl)CC2(Cl)Cl
156,Clc1c(Cl)c2c3c(ccc(Cl)c3c1Cl)CC2(Cl)Cl
157,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)C(Cl)(Cl)C2
158,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2
159,Clc1ccc2c(Cl)c(Cl)c(Cl)c3c2c1CC3(Cl)Cl
160,Clc1cc(Cl)c2c(Cl)c(Cl)c(Cl)c3c2c1CC3(Cl)Cl
161,Clc1cc2c(Cl)c(Cl)c(Cl)c3c2c(c1Cl)CC3(Cl)Cl
162,Clc1c(Cl)c2c3c(c(Cl)c(Cl)c(Cl)c3c1Cl)C(Cl)(Cl)C2
163,ClC1c2cccc3cccc(c23)C1Cl
164,Clc1ccc2c3c(cccc13)C(Cl)C2Cl
165,Clc1cc2c3c(cccc3c1)C(Cl)C2Cl
166,Clc1cc2c3c(cccc3c1Cl)C(Cl)C2Cl
167,Clc1ccc2cccc3c2c1C(Cl)C3Cl
168,Clc1cc(Cl)c2cccc3c2c1C(Cl)C3Cl
169,Clc1cc2cccc3c2c(c1Cl)C(Cl)C3Cl
170,Clc1c(Cl)c2c3c(cccc3c1Cl)C(Cl)C2Cl
171,Clc1ccc2c3c(ccc(Cl)c13)C(Cl)C2Cl
172,Clc1cc2c3c(ccc(Cl)c3c1)C(Cl)C2Cl
173,Clc1cc2c3c(ccc(Cl)c3c1Cl)C(Cl)C2Cl
174,Clc1ccc2c(Cl)ccc3c2c1C(Cl)C3Cl
175,Clc1cc(Cl)c2c(Cl)ccc3c2c1C(Cl)C3Cl
176,Clc1cc2c(Cl)ccc3c2c(c1Cl)C(Cl)C3Cl
177,Clc1c(Cl)c2c3c(ccc(Cl)c3c1Cl)C(Cl)C2Cl
178,Clc1cc2c3c(cc(Cl)cc3c1)C(Cl)C2Cl
179,Clc1cc2c3c(cc(Cl)c(Cl)c3c1)C(Cl)C2Cl
180,Clc1cc2c3c(c(Cl)ccc3c1)C(Cl)C2Cl
181,Clc1cc2c3c(c(Cl)cc(Cl)c3c1)C(Cl)C2Cl
182,Clc1cc2c3c(c(Cl)c(Cl)cc3c1)C(Cl)C2Cl
183,Clc1cc2c3c(c(Cl)c(Cl)c(Cl)c3c1)C(Cl)C2Cl
184,Clc1cc2c3c(cc(Cl)c(Cl)c3c1Cl)C(Cl)C2Cl
